combination,lr,optimizer,batch_size,dropout,weight_decay,best_accuracy,final_train_acc,final_test_acc
1,0.01,adam,32,0.0,0.0,7.87037037037037,8.29861111111111,7.685185185185185
2,0.01,adam,32,0.0,0.005,53.65740740740741,50.45138888888889,50.27777777777778
3,0.01,adam,32,0.5,0.0,8.981481481481483,7.905092592592593,8.981481481481483
4,0.01,adam,32,0.5,0.005,54.39814814814815,51.05324074074075,54.39814814814815
5,0.01,adam,64,0.0,0.0,63.28703703703704,61.59722222222223,63.28703703703704
6,0.01,adam,64,0.0,0.005,54.53703703703704,52.88194444444444,53.7962962962963
7,0.01,adam,64,0.5,0.0,7.87037037037037,8.368055555555555,7.685185185185185
8,0.01,adam,64,0.5,0.005,57.08333333333333,54.03935185185185,56.388888888888886
9,0.001,adam,32,0.0,0.0,67.31481481481481,69.17824074074073,67.31481481481481
10,0.001,adam,32,0.0,0.005,7.638888888888889,7.777777777777778,7.638888888888889
11,0.001,adam,32,0.5,0.0,63.28703703703704,62.14120370370371,63.28703703703704
12,0.001,adam,32,0.5,0.005,7.685185185185185,7.905092592592593,7.685185185185185
13,0.001,adam,64,0.0,0.0,62.638888888888886,60.92592592592593,62.638888888888886
14,0.001,adam,64,0.0,0.005,7.685185185185185,8.4375,7.685185185185185
15,0.001,adam,64,0.5,0.0,65.13888888888889,67.68518518518518,65.0
16,0.001,adam,64,0.5,0.005,7.638888888888889,7.997685185185185,7.638888888888889
